一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
肉禽蛋,猪肉类,白条猪,7.5,7.5,7.5,瘦,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,白条猪,6.75,6.75,6.75,肥,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪尾巴,40.0,47.5,55.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪蹄,16.0,16.75,17.5,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪头,7.5,7.5,7.5,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪口条,11.0,11.0,11.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪耳,22.0,22.0,22.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪脑,17.5,18.75,20.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪肚,17.0,17.0,17.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪板油,5.0,5.5,6.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪腰子,12.0,12.0,12.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪心,6.5,6.5,6.5,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪肝,4.5,4.5,4.5,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪肺,2.5,2.5,2.5,,,个,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪皮,3.0,3.25,3.5,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪肠头,15.0,15.0,15.0,,,斤,2025-12-12 00:00:00
肉禽蛋,猪肉类,猪肠,13.0,13.0,13.0,,,斤,2025-12-12 00:00:00
